_3FGL,Na,RAJ2000,DEJ2000,amaj,amin,phi,Sig,F35,S25,Gamma,Mod,Var,Flag,Assoc,TeV,Class,ID,Simbad,File,LC,F1,E_F1,F2,E_F2,F3,E_F3,F4,E_F4,F5,E_F5,Source,TYPE,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,RA_d,DEC_d,SCRIPT_NUMBER_ID,Ang_Sep,Var_1,LL,VHE,SpCl,SEDCl,z,alpha,e_alpha,Var_2,F2_F1,F4_F3
J0310.4-5015,2,47.621,-50.257,0.053,0.050,22,8.4,0.3,4.2,1.75,PL,,,1FHL J0310.5-5014,,bcu,1RXS J031036.0-501615,Simbad,J0310.4-5015,LC,0.08,0.30,0.01,0.03,0.19,0.08,1.06,0.36,0.51,0.23,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,5.58
J0310.8+3814,2,47.709,38.237,0.107,0.079,-52,8.6,0.6,7.6,2.42,PL,T,,2FGL J0310.7+3813,,fsrq,B3 0307+380,Simbad,J0310.8p3814,LC,1.52,0.37,0.21,0.06,0.29,0.11,1.41,0.45,0.16,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,4.86
J0312.1-0921,1,48.041,-9.359,0.089,0.081,65,10.9,0.9,5.2,2.22,LP,,,2FGL J0312.5-0914,,,,Simbad,J0312.1-0921,LC,0.08,0.18,0.20,0.04,0.68,0.13,1.78,0.49,0.00,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,2.62
J0312.7+0133,2,48.194,1.561,0.064,0.053,62,14.4,1.0,12.1,2.28,PL,T,,2FGL J0312.6+0132,,fsrq,PKS 0310+013,Simbad,J0312.7p0133,LC,1.27,0.33,0.36,0.06,0.82,0.14,1.95,0.49,0.46,0.24,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,2.38
J0312.7+2011,2,48.191,20.190,0.070,0.057,-34,6.9,0.3,4.4,1.72,PL,,,1FHL J0312.8+2013,,,,Simbad,J0312.7p2011,LC,0.33,0.32,0.00,0.05,0.17,0.10,1.10,0.43,0.58,0.24,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,6.47
J0312.7+3613,1,48.194,36.232,0.067,0.058,6,6.4,0.4,5.3,2.28,PL,,,,,bll,V Zw 326,Simbad,J0312.7p3613,LC,0.71,0.37,0.15,0.06,0.29,0.11,0.75,0.36,0.19,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,2.59
J0312.7-2222,1,48.176,-22.371,0.056,0.052,-58,6.9,0.2,3.4,1.62,PL,,,,,,,Simbad,J0312.7-2222,LC,0.00,0.16,0.01,0.03,0.05,0.06,1.07,0.40,0.51,0.24,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,21.40
J0314.3-5103,2,48.579,-51.061,0.066,0.065,12,11.5,0.6,7.7,2.40,PL,,,2FGL J0314.2-5106,,bll,PMN J0314-5104,Simbad,J0314.3-5103,LC,1.33,0.29,0.22,0.04,0.52,0.10,0.94,0.35,0.40,0.22,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,1.81
J0315.5-1026,2,48.897,-10.438,0.156,0.125,-11,5.7,0.4,5.0,2.41,PL,T,,2FGL J0315.8-1024,,fsrq,PKS 0313-107,Simbad,J0315.5-1026,LC,0.82,0.34,0.14,0.05,0.25,0.10,1.17,0.42,0.11,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,4.68
J0316.1+0904,3,49.042,9.077,0.029,0.026,55,23.5,2.2,25.8,1.92,PL,T,,1FHL J0316.1+0904,,bll,GB6 J0316+0904,Simbad,J0316.1p0904,LC,0.19,0.34,0.56,0.07,1.44,0.18,5.56,0.81,2.62,0.49,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,3.86
