_3FGL,Na,RAJ2000,DEJ2000,amaj,amin,phi,Sig,F35,S25,Gamma,Mod,Var,Flag,Assoc,TeV,Class,ID,Simbad,File,LC,F1,E_F1,F2,E_F2,F3,E_F3,F4,E_F4,F5,E_F5,Source,TYPE,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,RA_d,DEC_d,SCRIPT_NUMBER_ID,Ang_Sep,Var_1,LL,VHE,SpCl,SEDCl,z,alpha,e_alpha,Var_2,F2_F1,F4_F3
J1446.1-1628,1,221.527,-16.472,0.115,0.093,29,5.6,0.5,5.8,2.36,PL,,,,,bll,PKS B1443-162,Simbad,J1446.1-1628,LC,1.06,0.41,0.15,0.06,0.35,0.13,0.91,0.42,0.16,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,2.60
J1446.6-4701,2,221.662,-47.033,0.076,0.072,-58,11.0,1.0,12.6,2.30,PL,,"7,10",2FGL J1446.8-4701,,PSR,PSR J1446-4701,Simbad,J1446.6-4701,LC,2.09,0.40,0.21,0.07,1.10,0.17,2.43,0.60,0.00,0.21,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,2.21
J1446.8-1831,1,221.710,-18.531,0.109,0.091,37,4.2,0.2,3.3,1.72,PL,,,,,bcu,NVSS J144644-182922,Simbad,J1446.8-1831,LC,0.01,0.25,0.03,0.04,0.00,0.10,0.86,0.42,0.46,0.26,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,
J1447.3-5800,1,221.831,-58.005,0.119,0.086,-53,14.2,2.0,37.8,2.72,LP,,,2FGL J1446.6-5753,,,,Simbad,J1447.3-5800,LC,7.06,1.11,1.71,0.18,1.95,0.33,1.31,0.69,0.12,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.67
J1448.0+3608,3,222.010,36.145,0.032,0.030,76,23.1,1.3,15.8,1.82,PL,T,,1FHL J1448.2+3607,,bll,RBS 1432,Simbad,J1448.0p3608,LC,0.41,0.23,0.19,0.04,0.82,0.11,3.57,0.58,1.75,0.38,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,4.35
J1450.4+0911,1,222.620,9.191,0.098,0.082,70,7.2,0.4,5.5,2.35,PL,,,,,fsrq,TXS 1448+093,Simbad,J1450.4p0911,LC,0.63,0.33,0.11,0.05,0.37,0.11,1.30,0.42,0.08,0.12,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,3.51
J1450.9+5200,2,222.745,52.003,0.069,0.062,-65,9.7,0.6,6.5,2.18,PL,,,2FGL J1451.0+5159,,bll,SDSS J145059.99+520111.7,Simbad,J1450.9p5200,LC,0.00,0.46,0.24,0.05,0.43,0.10,1.40,0.39,0.18,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26
J1451.2+6355,1,222.805,63.919,0.084,0.068,9,5.6,0.2,2.3,1.88,PL,,,,,bll,RX J1451.4+6354,Simbad,J1451.2p6355,LC,0.52,0.17,0.03,0.03,0.18,0.06,0.38,0.22,0.23,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,2.11
J1454.0+1622,1,223.503,16.380,0.174,0.148,-71,6.4,0.3,5.3,2.59,PL,,,,,fsrq,CLASS J1454+1623,Simbad,J1454.0p1622,LC,0.83,0.31,0.19,0.05,0.25,0.09,0.55,0.32,0.00,0.12,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,2.20
J1454.2-3751,1,223.566,-37.856,0.132,0.109,75,9.1,0.5,10.1,2.76,PL,,,,,fsrq,PKS 1451-375,Simbad,J1454.2-3751,LC,2.36,0.47,0.37,0.07,0.47,0.13,0.12,0.31,0.08,0.11,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.26
J1454.5+5124,3,223.630,51.408,0.026,0.025,-21,33.6,2.4,26.9,2.08,PL,T,,1FHL J1454.4+5120,,bll,TXS 1452+516,Simbad,J1454.5p5124,LC,1.94,0.25,0.66,0.05,1.81,0.15,5.11,0.65,1.44,0.34,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,2.82
J1456.7-6046,1,224.195,-60.777,0.150,0.102,71,6.3,1.2,28.4,2.37,LP,,"1,5,12",,E,,,Simbad,J1456.7-6046,LC,2.58,1.33,1.88,0.38,1.43,0.48,0.92,0.78,0.06,0.29,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.64
J1457.4-3539,5,224.355,-35.657,0.021,0.020,60,62.2,6.6,68.3,2.29,LP,T,,1FHL J1457.3-3544,,FSRQ,PKS 1454-354,Simbad,J1457.4-3539,LC,8.07,0.48,2.68,0.09,5.21,0.25,10.94,0.99,1.53,0.38,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,2.10
J1457.6-5355,1,224.412,-53.926,0.091,0.083,75,4.5,0.6,7.6,2.42,PL,,,,,,,Simbad,J1457.6-5355,LC,2.20,0.58,0.34,0.11,0.23,0.19,0.90,0.51,0.25,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,3.91
J1457.6-6249,1,224.400,-62.830,0.242,0.229,-79,5.0,0.8,11.0,2.45,PL,,4,2FGL J1456.7-6247c,,,,Simbad,J1457.6-6249,LC,0.00,1.02,0.48,0.13,1.08,0.24,0.36,0.57,0.11,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
J1458.7+3719,1,224.685,37.325,0.181,0.122,90,4.5,0.2,2.7,2.24,PL,,,,,bll,B3 1456+375,Simbad,J1458.7p3719,LC,0.45,0.32,0.09,0.04,0.21,0.07,0.34,0.27,0.13,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,1.62
J1458.7-2120,1,224.688,-21.335,0.102,0.084,69,7.4,0.6,7.1,2.34,PL,,,2FGL J1458.5-2121,,,,Simbad,J1458.7-2120,LC,0.85,0.33,0.18,0.06,0.57,0.13,1.06,0.44,0.00,0.18,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,1.86
J1459.4-6053,3,224.866,-60.900,0.020,0.020,52,37.4,12.4,110.4,2.37,EC,,,2FGL J1459.4-6054,E,PSR,LAT PSR J1459-6053,Simbad,J1459.4-6053,LC,12.90,2.14,4.72,0.34,10.87,0.53,15.53,1.33,0.49,0.27,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,1.43
J1500.6+4750,1,225.173,47.841,0.108,0.098,-21,4.7,0.3,5.1,2.64,PL,,5,,,bll,TXS 1459+480,Simbad,J1500.6p4750,LC,1.31,0.65,0.10,0.07,0.34,0.10,0.35,0.24,0.06,0.09,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,1.03
J1500.9+2238,3,225.241,22.636,0.032,0.027,43,20.4,1.3,14.8,1.92,PL,T,,1FHL J1501.0+2238,,bll,MS 1458.8+2249,Simbad,J1500.9p2238,LC,0.66,0.25,0.21,0.05,0.93,0.12,3.08,0.57,1.51,0.38,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,3.31
J1502.2+5553,1,225.555,55.886,0.070,0.064,47,12.6,0.5,8.5,2.58,PL,T,,2FGL J1502.1+5548,,,,Simbad,J1502.2p5553,LC,1.51,0.32,0.31,0.04,0.38,0.09,1.16,0.35,0.08,0.10,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,3.05
J1503.5-5801,2,225.893,-58.029,0.071,0.053,44,12.8,4.3,35.5,2.42,LP,,,2FGL J1503.9-5800c,E,,,Simbad,J1503.5-5801,LC,4.54,1.50,1.85,0.23,3.38,0.46,5.77,1.20,0.11,0.28,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,1.71
J1503.7+4759,1,225.925,47.987,0.089,0.069,-68,8.7,0.6,6.4,2.22,PL,,,1FGL J1503.3+4759,,bll,SDSS J150347.99+475930.9,Simbad,J1503.7p4759,LC,0.52,0.51,0.21,0.06,0.43,0.10,0.94,0.33,0.19,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,2.19
J1503.7-1540,5,225.947,-15.676,0.043,0.038,-46,13.5,0.9,12.0,1.77,PL,,,1FHL J1503.9-1540,,bll,RBS 1457,Simbad,J1503.7-1540,LC,0.52,0.29,0.16,0.05,0.26,0.12,2.88,0.60,1.77,0.43,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,11.08
J1503.7-6426,1,225.929,-64.449,0.049,0.043,50,10.7,1.2,15.4,2.33,PL,T,,,,bcu,AT20G J150350-642539,Simbad,J1503.7-6426,LC,2.14,0.61,0.69,0.10,1.03,0.20,2.69,0.65,0.32,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,2.61
J1504.4+1029,4,226.105,10.494,0.012,0.011,-67,189.5,24.0,243.9,2.24,LP,T,,1FHL J1504.3+1029,,FSRQ,PKS 1502+106,Simbad,J1504.4p1029,LC,27.81,0.49,9.19,0.13,20.06,0.44,40.16,1.79,4.72,0.65,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,2.00
J1504.5-8242,1,226.142,-82.710,0.151,0.124,36,4.1,0.3,3.6,2.30,PL,,4,,,bcu,1RXS J150537.1-824233,Simbad,J1504.5-8242,LC,1.11,0.32,0.12,0.05,0.24,0.11,0.51,0.31,0.10,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,2.12
J1505.0-3432,3,226.250,-34.547,0.091,0.072,-20,7.5,0.6,7.1,2.23,PL,,,2FGL J1504.9-3433,,bll,PMN J1505-3432,Simbad,J1505.0-3432,LC,1.08,0.44,0.14,0.06,0.57,0.14,1.28,0.44,0.28,0.20,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,2.25
J1505.1+0326,2,226.278,3.449,0.060,0.057,-67,22.0,1.3,21.6,2.61,PL,,,2FGL J1505.1+0324,,nlsy1,PKS 1502+036,Simbad,J1505.1p0326,LC,4.01,0.41,0.83,0.07,1.01,0.15,1.42,0.48,0.25,0.21,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,1.41
J1506.1+3728,2,226.549,37.479,0.080,0.070,32,15.3,0.8,10.7,2.45,PL,T,,2FGL J1506.0+3729,,fsrq,B2 1504+37,Simbad,J1506.1p3728,LC,1.44,0.35,0.40,0.05,0.73,0.11,0.95,0.35,0.00,0.12,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,1.30
J1506.3+4332,1,226.594,43.544,0.086,0.080,-67,5.8,0.3,2.9,1.95,PL,,,,,bll,NVSS J150617+433413,Simbad,J1506.3p4332,LC,0.00,0.20,0.04,0.03,0.22,0.07,0.79,0.35,0.22,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59
J1506.4-0340,1,226.622,-3.668,0.122,0.103,35,4.2,0.4,4.4,2.33,PL,,,,,,,Simbad,J1506.4-0340,LC,0.54,0.39,0.17,0.06,0.17,0.13,0.51,0.38,0.14,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,3.00
J1506.6+0811,1,226.675,8.185,0.070,0.057,-1,9.5,0.6,6.8,1.87,PL,,,2FGL J1506.6+0806,,bll,PMN J1506+0814,Simbad,J1506.6p0811,LC,0.07,0.32,0.10,0.05,0.33,0.11,1.98,0.50,0.61,0.26,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,6.00
J1506.6-6219,2,226.668,-62.331,0.072,0.053,-1,7.2,0.8,9.3,1.86,PL,,,1FHL J1507.0-6223,E,,,Simbad,J1506.6-6219,LC,3.55,1.10,0.01,0.12,0.50,0.21,1.83,0.62,1.09,0.36,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3.66
J1507.4+1725,1,226.869,17.420,0.120,0.109,-24,4.7,0.2,2.8,1.78,PL,,,,,bll,NVSS J150716+172103,Simbad,J1507.4p1725,LC,0.06,0.25,0.00,0.04,0.12,0.08,0.66,0.32,0.36,0.22,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,5.50
J1507.6-3710,1,226.909,-37.178,0.145,0.092,-73,5.5,0.4,4.9,2.13,PL,,,,,bcu,NVSS J150720-370903,Simbad,J1507.6-3710,LC,0.11,0.51,0.13,0.06,0.26,0.11,1.30,0.45,0.23,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,5.00
J1508.6+2709,1,227.165,27.157,0.051,0.044,-37,6.9,0.3,3.6,1.71,PL,,,2FGL J1508.5+2709,,bll,RBS 1467,Simbad,J1508.6p2709,LC,0.20,0.20,0.04,0.04,0.11,0.07,0.76,0.33,0.47,0.23,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,6.91
J1508.7-4956,1,227.184,-49.933,0.102,0.075,77,10.1,1.0,19.7,2.73,PL,T,5,2FGL J1508.5-4957,,bcu,PMN J1508-4953,Simbad,J1508.7-4956,LC,4.73,0.84,0.69,0.11,0.72,0.19,1.07,0.51,0.15,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.49
J1509.4-5850,4,227.365,-58.845,0.020,0.020,-75,36.4,15.4,102.9,2.33,EC,,,2FGL J1509.6-5850,,PSR,PSR J1509-5850,Simbad,J1509.4-5850,LC,2.97,2.09,3.67,0.28,12.67,0.61,27.02,1.91,1.52,0.42,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,2.13
J1509.7+5556,2,227.438,55.935,0.048,0.044,89,10.7,0.5,5.4,1.87,PL,,,2FGL J1509.7+5556,,bll,SBS 1508+561,Simbad,J1509.7p5556,LC,0.14,0.31,0.08,0.03,0.26,0.07,1.12,0.34,0.67,0.24,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,4.31
J1509.9-2951,1,227.484,-29.864,0.367,0.269,-26,6.2,0.3,7.6,2.78,PL,,1,,,bcu,TXS 1507-296,Simbad,J1509.9-2951,LC,1.92,0.42,0.23,0.07,0.16,0.13,0.48,0.35,0.00,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,3.00
J1510.2-5754,1,227.570,-57.916,0.156,0.076,-6,9.1,2.9,43.5,2.52,PL,,4,1FGL J1510.8-5804c,,,,Simbad,J1510.2-5754,LC,3.42,2.75,2.11,0.29,2.79,0.49,3.30,1.17,0.46,0.32,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,1.18
J1510.9-0542,3,227.747,-5.706,0.047,0.043,-30,16.7,2.0,27.0,2.43,PL,,,2FGL J1510.9-0545,,fsrq,PKS 1508-05,Simbad,J1510.9-0542,LC,3.10,1.21,1.02,0.12,1.80,0.21,3.10,0.65,0.41,0.25,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,1.72
J1511.8-0513,2,227.960,-5.219,0.050,0.041,-82,10.6,0.9,10.6,2.03,PL,,,2FGL J1511.8-0513,,bcu,NVSS J151148-051345,Simbad,J1511.8-0513,LC,1.50,1.12,0.13,0.11,0.52,0.17,2.46,0.58,0.74,0.30,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,4.73
J1512.2+0202,3,228.065,2.033,0.038,0.035,18,23.7,2.0,23.4,2.20,PL,,,1FHL J1512.2+0204,,fsrq,PKS 1509+022,Simbad,J1512.2p0202,LC,2.26,0.37,0.65,0.07,1.57,0.17,4.26,0.72,1.03,0.35,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,2.71
J1512.2-2255,2,228.075,-22.931,0.060,0.051,-48,8.3,0.6,7.5,1.91,PL,,,1FHL J1512.1-2255,,bcu,1RXS J151213.1-225515,Simbad,J1512.2-2255,LC,0.00,0.31,0.17,0.06,0.35,0.13,1.76,0.52,0.71,0.30,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03
J1512.3+6622,1,228.087,66.373,0.139,0.119,78,4.1,0.2,2.3,2.23,PL,,,,,,,Simbad,J1512.3p6622,LC,0.50,0.28,0.04,0.03,0.18,0.07,0.31,0.21,0.13,0.12,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,1.72
J1512.3+8005,1,228.089,80.088,0.134,0.111,52,5.0,0.2,2.8,2.51,PL,,,,,bcu,1RXS J151026.3+795946,Simbad,J1512.3p8005,LC,0.87,0.21,0.06,0.03,0.15,0.06,0.35,0.21,0.09,0.10,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,2.33
J1512.8-0906,7,228.213,-9.103,0.010,0.009,-26,207.3,41.1,492.8,2.36,LP,T,"1,4,5",1FHL J1512.8-0906,P,FSRQ,PKS 1510-08,Simbad,J1512.8-0906,LC,69.68,1.13,18.94,0.21,33.77,0.59,62.54,2.29,8.67,0.86,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,1.85
J1512.8-5639,1,228.203,-56.666,0.053,0.047,71,7.1,1.5,21.5,2.46,PL,T,,,,,,Simbad,J1512.8-5639,LC,4.58,1.48,1.03,0.20,1.39,0.36,2.08,0.87,0.56,0.29,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,1.50
J1513.1-1014,1,228.290,-10.241,0.230,0.161,43,4.6,0.5,11.5,2.77,PL,,5,,,fsrq,PKS 1511-100,Simbad,J1513.1-1014,LC,2.96,1.00,0.44,0.13,0.41,0.18,0.76,0.46,0.00,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.85
J1513.3-3719,1,228.329,-37.319,0.091,0.076,-26,4.3,0.2,2.9,1.68,PL,,,,,,,Simbad,J1513.3-3719,LC,0.65,0.42,0.00,0.05,0.05,0.08,1.02,0.44,0.33,0.21,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,20.40
J1513.4-2549,2,228.368,-25.827,0.079,0.069,68,11.0,1.2,7.0,2.23,LP,,,2FGL J1513.5-2546,,psr,PSR J1513-25,Simbad,J1513.4-2549,LC,0.17,0.23,0.28,0.06,1.00,0.16,1.06,0.44,0.12,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.06
J1513.5-3233,1,228.377,-32.553,0.092,0.068,-19,12.6,1.1,14.2,2.34,PL,T,,2FGL J1513.6-3233,,fsrq,PKS 1510-324,Simbad,J1513.5-3233,LC,1.65,0.40,0.56,0.07,1.01,0.17,1.69,0.53,0.22,0.22,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,1.67
J1513.8-6250c,1,228.454,-62.845,0.139,0.063,0,9.8,1.3,21.6,2.58,PL,,"1,3,6,9",2FGL J1512.5-6247c,,,,Simbad,J1513.8-6250c,LC,1.92,1.06,1.01,0.12,1.13,0.25,1.03,0.58,0.24,0.20,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.91
J1513.9-5908,2,228.482,-59.136,,,,7.4,1.1,45.0,3.12,PL,,"1,3",1FGL J1513.2-5904,,PSR,PSR J1513-5908,Simbad,J1513.9-5908,LC,20.78,2.79,1.38,0.28,0.77,0.44,2.20,1.19,1.24,0.64,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,2.86
J1514.0-5915e,3,228.507,-59.256,,,,,2.9,45.6,1.57,PL,,,1FHL J1514.0-5915e,E,PWN,MSH 15-52,Simbad,J1514.0-5915e,LC,0.54,,0.31,,1.46,,8.31,,4.90,0.87,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,5.69
J1514.1+2940,1,228.536,29.682,0.248,0.237,-42,4.4,0.2,4.2,2.88,PL,,,,,fsrq,MG2 J151421+2930,Simbad,J1514.1p2940,LC,1.06,0.37,0.12,0.05,0.07,0.08,0.32,0.23,0.06,0.18,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,4.57
J1514.2-4947,4,228.558,-49.784,0.021,0.021,-32,39.4,6.6,42.8,2.07,EC,,,1FHL J1514.3-4945,,PSR,PSR J1514-4946,Simbad,J1514.2-4947,LC,1.98,0.67,1.07,0.10,4.96,0.28,15.00,1.18,1.16,0.34,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,3.02
J1514.5-4750,2,228.641,-47.835,0.071,0.055,59,13.1,1.4,17.4,2.33,PL,T,,2FGL J1514.6-4751,,fsrq,PMN J1514-4748,Simbad,J1514.5-4750,LC,2.59,0.56,0.49,0.09,1.05,0.19,3.22,0.66,0.26,0.22,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,3.07
J1514.8+4446,2,228.711,44.778,0.078,0.066,-69,15.7,0.8,10.4,2.34,PL,,,2FGL J1514.6+4449,,fsrq,NVSS J151436+445003,Simbad,J1514.8p4446,LC,1.12,0.28,0.36,0.04,0.74,0.11,1.52,0.40,0.12,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,2.05
J1514.8-3623,1,228.719,-36.385,0.171,0.145,87,5.0,0.4,5.5,2.41,PL,,,,,bcu,PMN J1514-3617,Simbad,J1514.8-3623,LC,0.06,0.56,0.24,0.06,0.38,0.12,0.68,0.40,0.03,0.18,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,1.79
J1516.7+3648,1,229.192,36.809,0.109,0.097,45,5.6,0.3,3.3,2.23,PL,,,2FGL J1517.2+3645,,bll,MG2 J151646+3650,Simbad,J1516.7p3648,LC,0.24,0.25,0.11,0.04,0.28,0.08,0.55,0.28,0.00,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,1.96
J1516.9+1926,2,229.236,19.446,0.256,0.199,16,6.4,0.3,6.0,2.77,PL,,,2FGL J1516.9+1925,,bll,PKS 1514+197,Simbad,J1516.9p1926,LC,1.19,0.33,0.21,0.05,0.18,0.10,0.26,0.25,0.10,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,1.44
J1517.0+2637,1,229.253,26.631,0.109,0.085,-55,4.1,0.2,2.2,2.00,PL,,,,,,,Simbad,J1517.0p2637,LC,0.00,0.19,0.07,0.04,0.04,0.07,0.66,0.33,0.15,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,16.50
J1517.6+6524,3,229.419,65.415,0.032,0.029,-29,18.5,0.8,10.2,1.78,PL,,"1,3",1FHL J1517.9+6526,,bll,1H 1515+660,Simbad,J1517.6p6524,LC,0.15,0.22,0.15,0.03,0.39,0.08,2.05,0.39,1.53,0.32,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,5.26
J1517.6-2422,4,229.421,-24.376,0.020,0.020,-54,45.4,5.2,58.4,2.11,PL,,,1FHL J1517.8-2421,P,bll,AP Librae,Simbad,J1517.6-2422,LC,5.40,0.43,1.36,0.08,3.92,0.24,13.03,1.09,2.38,0.50,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3.32
J1517.6-4442,1,229.405,-44.702,0.252,0.141,-77,6.7,0.6,9.6,2.57,PL,,,,,,,Simbad,J1517.6-4442,LC,2.09,0.57,0.24,0.08,0.52,0.16,0.71,0.40,0.03,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,1.37
J1518.0-2732,2,229.520,-27.539,0.036,0.034,49,18.4,1.8,20.7,2.13,PL,T,,1FHL J1518.4-2733,,bcu,TXS 1515-273,Simbad,J1518.0-2732,LC,1.70,0.66,0.60,0.08,1.27,0.18,3.97,0.68,1.09,0.34,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,3.13
J1518.2-5232,2,229.571,-52.535,0.068,0.058,-25,10.4,1.4,16.4,2.24,PL,,,2FGL J1518.4-5233,,,,Simbad,J1518.2-5232,LC,1.16,0.62,0.43,0.10,1.28,0.22,3.56,0.71,0.06,0.26,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,2.78
J1520.3+4209,2,230.093,42.154,0.111,0.107,66,10.0,0.5,6.9,2.50,PL,T,,2FGL J1520.9+4209,,fsrq,B3 1518+423,Simbad,J1520.3p4209,LC,0.91,0.30,0.29,0.04,0.37,0.09,0.59,0.30,0.04,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,1.59
J1520.8-0348,3,230.203,-3.812,0.039,0.034,-64,15.8,1.2,14.7,1.83,PL,,,1FHL J1520.8-0348,,bll,NVSS J152048-034850,Simbad,J1520.8-0348,LC,0.03,0.32,0.15,0.06,0.67,0.15,4.11,0.68,1.35,0.38,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,6.13
J1521.1+5543,1,230.296,55.722,0.105,0.073,90,6.5,0.3,3.2,2.17,PL,,,,,bll,SDSS J152034.98+554256.9,Simbad,J1521.1p5543,LC,0.75,0.26,0.05,0.03,0.22,0.07,0.46,0.25,0.24,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,2.09
J1521.8+4340,1,230.466,43.674,0.156,0.143,59,5.8,0.3,4.4,2.61,PL,T,,2FGL J1522.0+4348,,fsrq,B3 1520+437,Simbad,J1521.8p4340,LC,1.14,0.36,0.19,0.04,0.16,0.07,0.25,0.23,0.10,0.12,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,1.56
J1521.9-5736,2,230.486,-57.611,0.032,0.031,31,27.0,9.4,69.3,2.35,EC,,,2FGL J1521.8-5735,,PSR,LAT PSR J1522-5734,Simbad,J1521.9-5736,LC,5.02,1.30,3.03,0.21,8.66,0.51,11.51,1.45,0.54,0.32,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,1.33
J1522.1+3144,4,230.543,31.736,0.012,0.012,21,192.7,17.9,211.9,2.35,LP,T,,1FHL J1522.2+3145,,fsrq,B2 1520+31,Simbad,J1522.1p3144,LC,29.38,0.45,8.00,0.11,15.18,0.36,26.90,1.41,3.84,0.56,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,1.77
J1522.6-2730,2,230.662,-27.508,0.035,0.031,-74,26.0,2.9,32.7,2.13,PL,T,,2FGL J1522.7-2731,,bll,PKS 1519-273,Simbad,J1522.6-2730,LC,2.04,0.68,0.88,0.09,2.16,0.20,7.20,0.88,1.22,0.35,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,3.33
J1525.2-5905,1,231.317,-59.087,0.243,0.175,23,4.1,0.7,15.4,2.79,PL,,"4,5",,,bcu,PMN J1524-5903,Simbad,J1525.2-5905,LC,2.69,1.87,0.48,0.19,0.82,0.29,1.34,0.74,0.21,0.21,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,1.63
J1525.8-0834,1,231.470,-8.579,0.079,0.065,73,4.2,0.2,2.6,1.64,PL,,,,,,,Simbad,J1525.8-0834,LC,0.65,0.36,0.00,0.03,0.02,0.09,0.69,0.39,0.28,0.20,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,34.50
